sku_id,period,qty_total,category_id
598294111,2025-03-10,0.8984089959377028,672241
598294111,2025-03-17,1.398426437982291,672241
598294111,2025-03-24,0.8984458790829152,672241
598294111,2025-03-31,0.3983925592324957,672241
598294111,2025-04-07,1.3984429592866485,672241
598294111,2025-04-14,1.39850379349333,672241
598294111,2025-04-21,2.8984010224260417,672241
598294111,2025-04-28,1.398513086079408,672241
598294111,2025-05-05,2.898437448722335,672241
598294111,2025-05-12,1.3984540844684334,672241
598294111,2025-05-19,0.8984850919975186,672241
598294111,2025-05-26,0.8984842327163911,672241
598294111,2025-06-02,2.898476051486447,672241
598294111,2025-06-09,4.398480038920218,672241
598294111,2025-06-16,1.8985210403485802,672241
598302302,2025-03-10,0.48779440218842884,672241
598302302,2025-03-17,-0.018361146575649447,672241
598302302,2025-03-24,-0.017183471453327853,672241
598302302,2025-03-31,-0.016528463438209975,672241
598302302,2025-04-07,-0.016205991017023115,672241
598302302,2025-04-14,-0.01608210184241409,672241
598302302,2025-04-21,-0.016063822964530232,672241
598302302,2025-04-28,-0.016087460337285926,672241
598302302,2025-05-05,-0.016109948896150812,672241
598302302,2025-05-12,-0.016102408717504554,672241
598302302,2025-05-19,-0.016045467151853864,672241
598302302,2025-05-26,-0.015400847110338005,672241
598302302,2025-06-02,-0.01529507832348724,672241
598302302,2025-06-09,-0.015196802347822148,672241
598302302,2025-06-16,-0.015101647521088925,672241
599653937,2025-03-10,0.3111679587911864,672241
599653937,2025-03-17,1.3133396892750393,672241
599653937,2025-03-24,0.3155557599129968,672241
599653937,2025-03-31,7.814438840815599,672241
599653937,2025-04-07,0.3145547640449142,672241
599653937,2025-04-14,1.3119501394884816,672241
599653937,2025-04-21,5.3062354559559886,672241
599653937,2025-04-28,11.308990099039466,672241
599653937,2025-05-05,1.3027457058483263,672241
599653937,2025-05-12,3.305533346298184,672241
599653937,2025-05-19,1.305734850801091,672241
599653937,2025-05-26,0.8076112334470285,672241
599653937,2025-06-02,0.8084505541295981,672241
